Year,Launch,Institution,First Name,Primary Email,Language,Level,ED Course Level Equivalent,Class ,Status,Final Grade
2018,Spring,AIEP,Persona46917812227144408,Persona46917812227144408@email.com,English,Basic 2,Basic 2,Boyle EN1 - Basic 2 (Spring 2018),No Show,0
2018,Spring,EAD,Persona106879278315164,Persona106879278315164@email.com,English,Basic 2,Basic 2,Boyle EN3 - Basic 2 (Spring 2018),No Show,0
2018,Spring,FG,Persona1057077642437733777408,Persona1057077642437733777408@email.com,English,Basic 2,Basic 2,Boyle EN4 - Basic 2 (Spring 2018),No Show,0
2018,Spring,FMU,Persona12308615322099118080,Persona12308615322099118080@email.com,English,Basic 2,Basic 2,Boyle EN3 - Basic 2 (Spring 2018),No Show,0
2018,Spring,FPB,Persona104962382,Persona104962382@email.com,English,Basic 2,Basic 2,Boyle EN2 - Basic 2 (Spring 2018),No Show,0
2018,Spring,UAM BR,Persona108633881924016,Persona108633881924016@email.com,English,Basic 2,Basic 2,Boyle EN1 - Basic 2 (Spring 2018),No Show,0
2018,Spring,UDLA CL,Persona36493013,Persona36493013@email.com,English,Basic 2,Basic 2,Boyle EN4 - Basic 2 (Spring 2018),No Show,0
2018,Spring,UDLA CL,Persona100499609009773,Persona100499609009773@email.com,English,Basic 2,Basic 2,Boyle EN4 - Basic 2 (Spring 2018),No Show,0
2018,Spring,UiP,Persona11540111932854,Persona11540111932854@email.com,English,Basic 2,Basic 2,Boyle EN1 - Basic 2 (Spring 2018),No Show,0
2018,Spring,UiP,Persona1817190187674,Persona1817190187674@email.com,English,Basic 2,Basic 2,Boyle EN1 - Basic 2 (Spring 2018),No Show,0
2018,Spring,UiP,Persona5757006181,Persona5757006181@email.com,English,Basic 2,Basic 2,Boyle EN1 - Basic 2 (Spring 2018),No Show,0
2018,Spring,UNIFACS,Persona10687849791,Persona10687849791@email.com,English,Basic 2,Basic 2,Boyle EN1 - Basic 2 (Spring 2018),No Show,0
2018,Spring,UNIFACS,Persona33337878309411,Persona33337878309411@email.com,English,Basic 2,Basic 2,Boyle EN2 - Basic 2 (Spring 2018),No Show,0
2018,Spring,UNIFACS,Persona105413863,Persona105413863@email.com,English,Basic 2,Basic 2,Boyle EN4 - Basic 2 (Spring 2018),No Show,0
2018,Spring,UniRitter,Persona362411393330,Persona362411393330@email.com,English,Basic 2,Basic 2,Boyle EN3 - Basic 2 (Spring 2018),No Show,0
2018,Spring,UNITEC HN,Persona8787442273731936,Persona8787442273731936@email.com,English,Basic 2,Basic 2,Boyle EN2 - Basic 2 (Spring 2018),No Show,0
2018,Spring,UNITEC Mx,Persona13103974271919990,Persona13103974271919990@email.com,English,Basic 2,Basic 2,Boyle EN3 - Basic 2 (Spring 2018),No Show,0
2018,Spring,UNITEC Mx,Persona9956972530349684736,Persona9956972530349684736@email.com,English,Basic 2,Basic 2,Boyle EN4 - Basic 2 (Spring 2018),No Show,0
2018,Spring,UnP,Persona317870678311342721466368,Persona317870678311342721466368@email.com,English,Basic 2,Basic 2,Boyle EN2 - Basic 2 (Spring 2018),No Show,0
2018,Spring,UnP,Persona10541347780,Persona10541347780@email.com,English,Basic 2,Basic 2,Boyle EN2 - Basic 2 (Spring 2018),No Show,0
2018,Spring,UnP,Persona41438410697,Persona41438410697@email.com,English,Basic 2,Basic 2,Boyle EN3 - Basic 2 (Spring 2018),No Show,0
2018,Summer,AIEP,Persona46917812227144408,Persona46917812227144408@email.com,English,Basic 2,Basic 2,Boyle EN1 - Basic 2 (Summer 2018),No Show,0
2018,Summer,AIEP,Persona348140379892165,Persona348140379892165@email.com,English,Basic 2,Basic 2,Boyle EN3 - Basic 2 (Summer 2018),No Show,0
2018,Summer,EAD,Persona5840386272,Persona5840386272@email.com,English,Basic 2,Basic 2,Boyle EN3 - Basic 2 (Summer 2018),No Show,0
2018,Summer,FG,Persona31486797,Persona31486797@email.com,English,Basic 2,Basic 2,Boyle EN5 - Basic 2 (Summer 2018),No Show,0
2018,Summer,FG,Persona110127703786,Persona110127703786@email.com,English,Basic 2,Basic 2,Boyle EN5 - Basic 2 (Summer 2018),No Show,0
2018,Summer,FMU,Persona10569774365,Persona10569774365@email.com,English,Basic 2,Basic 2,Boyle EN1 - Basic 2 (Summer 2018),No Show,0
2018,Summer,FMU,Persona1154028516,Persona1154028516@email.com,English,Basic 2,Basic 2,Boyle EN3 - Basic 2 (Summer 2018),No Show,0
2018,Summer,FMU,Persona4766321243686,Persona4766321243686@email.com,English,Basic 2,Basic 2,Boyle EN4 - Basic 2 (Summer 2018),No Show,0
2018,Summer,FMU,Persona1101284437,Persona1101284437@email.com,English,Basic 2,Basic 2,Dantas EN2 - Basic 1 (Summer 2018),No Show,0
2018,Summer,FPB,Persona812473884,Persona812473884@email.com,English,Basic 2,Basic 2,Boyle EN1 - Basic 2 (Summer 2018),No Show,0
2018,Summer,FPB,Persona4144168214,Persona4144168214@email.com,English,Basic 2,Basic 2,Boyle EN5 - Basic 2 (Summer 2018),No Show,0
2018,Summer,Gestão São Paulo,Persona66466608243,Persona66466608243@email.com,English,Basic 2,Basic 2,Boyle EN4 - Basic 2 (Summer 2018),No Show,0
2018,Summer,Servicios Andinos,Persona4265465313550820864,Persona4265465313550820864@email.com,English,Basic 2,Basic 2,Boyle EN6 - Basic 2 (Summer 2018),No Show,0
2018,Summer,Servicios Andinos,Persona438080097034825920,Persona438080097034825920@email.com,English,Basic 2,Basic 2,Dantas EN1 - Basic 2 (Summer 2018),No Show,0
2018,Summer,Servicios Andinos,Persona99599284259986128896,Persona99599284259986128896@email.com,English,Basic 2,Basic 2,Boyle EN6 - Basic 2 (Summer 2018),No Show,0
2018,Summer,Servicios Andinos,Persona23488323230533402624,Persona23488323230533402624@email.com,English,Basic 2,Basic 2,Boyle EN6 - Basic 2 (Summer 2018),No Show,0
2018,Summer,Servicios Andinos,Persona58140001826740813824,Persona58140001826740813824@email.com,English,Basic 2,Basic 2,Boyle EN6 - Basic 2 (Summer 2018),No Show,0
2018,Summer,Servicios Andinos,Persona5762091753362813952,Persona5762091753362813952@email.com,English,Basic 2,Basic 2,Boyle EN6 - Basic 2 (Summer 2018),No Show,0
2018,Summer,Servicios Andinos,Persona2782393396581896290304,Persona2782393396581896290304@email.com,English,Basic 2,Basic 2,Boyle EN6 - Basic 2 (Summer 2018),No Show,0
2018,Summer,Servicios Andinos,Persona210195187907568730112,Persona210195187907568730112@email.com,English,Basic 2,Basic 2,Boyle EN2 - Basic 2 (Summer 2018),No Show,0
2018,Summer,Servicios Andinos,Persona1189190527670524944490430464,Persona1189190527670524944490430464@email.com,English,Basic 2,Basic 2,Boyle EN2 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UAM BR,Persona105413477,Persona105413477@email.com,English,Basic 2,Basic 2,Boyle EN1 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UAM BR,Persona903986401,Persona903986401@email.com,English,Basic 2,Basic 2,Boyle EN3 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UAM BR,Persona333318643,Persona333318643@email.com,English,Basic 2,Basic 2,Boyle EN3 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UAM BR,Persona148385268,Persona148385268@email.com,English,Basic 2,Basic 2,Boyle EN4 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UAM BR,Persona148708713,Persona148708713@email.com,English,Basic 2,Basic 2,Boyle EN4 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UAM BR,Persona2100428847,Persona2100428847@email.com,English,Basic 2,Basic 2,Boyle EN4 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UAM BR,Persona81364500257,Persona81364500257@email.com,English,Basic 2,Basic 2,Boyle EN4 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UAM BR,Persona315363554987,Persona315363554987@email.com,English,Basic 2,Basic 2,Boyle EN4 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UAM BR,Persona1100916545935,Persona1100916545935@email.com,English,Basic 2,Basic 2,Boyle EN5 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UAM BR,Persona3481404621,Persona3481404621@email.com,English,Basic 2,Basic 2,Boyle EN5 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UAM BR,Persona1101300159,Persona1101300159@email.com,English,Basic 2,Basic 2,Boyle EN5 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UiP,Persona14838168394,Persona14838168394@email.com,English,Basic 2,Basic 2,Boyle EN2 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UiP,Persona3152797,Persona3152797@email.com,English,Basic 2,Basic 2,Boyle EN2 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UiP,Persona575700618122134,Persona575700618122134@email.com,English,Basic 2,Basic 2,Boyle EN2 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UiP,Persona1141231828,Persona1141231828@email.com,English,Basic 2,Basic 2,Dantas EN1 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UiP,Persona8124763634,Persona8124763634@email.com,English,Basic 2,Basic 2,Dantas EN1 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UiP,Persona3333470428874,Persona3333470428874@email.com,English,Basic 2,Basic 2,Dantas EN1 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UiP,Persona41446594228493,Persona41446594228493@email.com,English,Basic 2,Basic 2,Dantas EN1 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UNAB,Persona18169711362,Persona18169711362@email.com,English,Basic 2,Basic 2,Boyle EN2 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UNAB,Persona1230857877,Persona1230857877@email.com,English,Basic 2,Basic 2,Boyle EN2 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UNIFACS,Persona58149656,Persona58149656@email.com,English,Basic 2,Basic 2,Boyle EN1 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UNIFACS,Persona4143842635,Persona4143842635@email.com,English,Basic 2,Basic 2,Boyle EN1 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UNIFACS,Persona360578,Persona360578@email.com,English,Basic 2,Basic 2,Boyle EN3 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UNINORTE,Persona460544382361,Persona460544382361@email.com,English,Basic 2,Basic 2,Boyle EN6 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UNITEC HN,Persona13487691982624051200,Persona13487691982624051200@email.com,English,Basic 2,Basic 2,Labriny EN1 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UNITEC HN,Persona15080359551462373376,Persona15080359551462373376@email.com,English,Basic 2,Basic 2,Labriny EN1 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UNITEC HN,Persona21054790,Persona21054790@email.com,English,Basic 2,Basic 2,Boyle EN2 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UNITEC HN,Persona6646950053463,Persona6646950053463@email.com,English,Basic 2,Basic 2,Labriny EN1 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UNITEC HN,Persona348140379935711428608,Persona348140379935711428608@email.com,English,Basic 2,Basic 2,Levano EN1 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UNITEC HN,Persona4264037759379851264,Persona4264037759379851264@email.com,English,Basic 2,Basic 2,Levano EN1 - Basic 2 (Summer 2018),No Show,0
2018,Summer,UnP,Persona27785993,Persona27785993@email.com,English,Basic 2,Basic 2,Boyle EN1 - Basic 2 (Summer 2018),No Show,0
